2020-06-23,17:54:17,,,
India,182798,455859,14483,258523
Maharashtra,62833,139010,6531,69631
Tamil Nadu,28431,64603,833,35339
Delhi,24988,66602,2301,39313
Gujarat,6197,28429,1711,20521
Uttar Pradesh,6189,18893,588,12116
Rajasthan,3049,15627,365,12213
West Bengal,4930,14728,580,9218
Madhya Pradesh,2401,12261,525,9335
Haryana,4844,11520,178,6498
State Unassigned,8015,8015,0,0
Karnataka,3563,9721,150,6004
Andhra Pradesh,5123,9834,119,4592
Bihar,1969,8050,54,6027
Telangana,5109,9553,220,4224
Jammu and Kashmir,2507,6236,87,3642
Assam,2078,5853,9,3763
Odisha,1458,5470,24,3988
Punjab,1245,4397,105,3047
Kerala,1620,3452,23,1807
Uttarakhand,886,2535,30,1602
Chhattisgarh,846,2385,12,1527
Jharkhand,660,2140,11,1469
Tripura,480,1263,1,782
Ladakh,783,932,1,148
Goa,702,909,2,205
Himachal Pradesh,323,775,7,432
Manipur,663,921,0,258
Chandigarh,90,418,6,322
Puducherry,228,402,9,165
Nagaland,189,330,0,141
Mizoram,123,142,0,19
Arunachal Pradesh,120,158,0,38
Sikkim,49,78,0,29
Dadra and Nagar Haveli and Daman and Diu,93,121,0,27
Andaman and Nicobar Islands,10,50,0,40
Meghalaya,4,46,1,41
Lakshadweep,0,0,0,0
