India,178714,441070,14019,248286
Maharashtra,61793,135796,6283,67706
Tamil Nadu,27181,62087,794,34112
Delhi,23820,62655,2233,36602
Gujarat,6278,27880,1685,19917
Uttar Pradesh,6152,18322,569,11601
Rajasthan,3035,15431,356,12040
West Bengal,5102,14358,569,8687
Madhya Pradesh,2342,12078,521,9215
Haryana,4940,11025,169,5916
State Unassigned,8015,8015,0,0
Karnataka,3523,9399,142,5730
Andhra Pradesh,4826,9372,111,4435
Bihar,2074,7893,52,5767
Telangana,4452,8674,217,4005
Jammu and Kashmir,2472,6088,85,3531
Assam,2275,5853,9,3566
Odisha,1583,5470,24,3863
Punjab,1309,4235,101,2825
Kerala,1540,3311,22,1747
Uttarakhand,838,2402,28,1521
Chhattisgarh,803,2302,12,1487
Jharkhand,660,2140,11,1469
Tripura,457,1240,1,782
Ladakh,710,847,1,136
Goa,711,864,1,152
Himachal Pradesh,278,727,7,429
Manipur,648,898,0,250
Chandigarh,83,411,6,322
Puducherry,228,402,9,165
Nagaland,189,330,0,141
Mizoram,130,142,0,12
Arunachal Pradesh,126,148,0,22
Sikkim,49,78,0,29
Dadra and Nagar Haveli and Daman and Diu,75,102,0,27
Andaman and Nicobar Islands,10,50,0,40
Meghalaya,7,45,1,37
Lakshadweep,0,0,0,0
